Order Type,Order Number,Datetime
long,3000,08.03.2023 22:56:04
short,3000,08.03.2023 22:57:17
long,3000,08.03.2023 23:07:22
long,3000,08.03.2023 23:18:47
long,3000,09.03.2023 07:53:06
long,3000,09.03.2023 08:07:06
long,3000,09.03.2023 10:47:16
long,3000,09.03.2023 11:18:48
long,3000,09.03.2023 13:25:11
short,3000,09.03.2023 14:06:53
short,3000,09.03.2023 14:15:12
short,3000,09.03.2023 14:18:34
long,3000,09.03.2023 14:18:47
long,3000,09.03.2023 14:31:02
long,3000,09.03.2023 15:56:30
long,3000,09.03.2023 16:09:07
long,3000,09.03.2023 16:38:51
long,3000,09.03.2023 16:42:29
short,3000,09.03.2023 17:18:48
long,3000,09.03.2023 18:18:48
long,3000,09.03.2023 18:28:23
